city,year,month,day,avg(la),avg(AQI),avg(lo)
青岛,2019,1,18,35.0,128.7391304347826,120.0
上海,2018,8,13,30.0,28.583333333333332,120.0
天津,2019,2,15,39.0,49.0,118.0
上海,2019,2,21,30.0,68.6774193548387,120.0
天津,2018,8,10,38.0,81.53333333333333,117.0
济南,2018,8,25,35.0,97.05555555555556,115.0
郑州,2019,2,9,35.0,77.00526315789473,113.0
青岛,2019,2,11,36.0,110.53310104529616,120.0
成都,2019,6,10,31.0,41.729559748427675,104.0
天津,2019,2,9,39.0,50.63380281690141,118.0
乌鲁木齐,2018,8,20,43.0,42.857142857142854,88.0
上海,2019,2,27,31.0,47.959899749373434,120.0
海口,2019,1,21,20.0,44.82608695652174,110.0
呼和浩特,2019,2,19,40.0,106.45138888888889,111.0
海口,2019,1,5,20.0,43.2037037037037,110.0
郑州,2018,8,10,35.0,66.0952380952381,113.0
济南,2019,2,4,36.0,161.79166666666666,115.0
青岛,2019,2,1,35.0,109.33333333333333,120.0
北京,2019,1,13,40.0,87.82828282828282,116.0
北京,2019,1,4,40.0,46.24324324324324,116.0
乌鲁木齐,2019,1,23,43.0,177.36912751677852,87.0
北京,2018,8,5,38.0,49.714285714285715,115.0
济南,2018,8,24,35.0,67.18181818181819,115.0
昆明,2018,8,31,25.0,30.26086956521739,103.0
成都,2019,1,24,30.0,98.95614035087719,103.0
乌鲁木齐,2019,6,9,43.0,31.4375,88.0
北京,2019,1,16,38.0,97.43478260869566,115.0
乌鲁木齐,2019,6,9,43.0,49.431372549019606,87.0
成都,2019,2,14,31.0,53.63636363636363,103.0
郑州,2019,1,12,33.0,157.62105263157895,113.0
郑州,2019,1,10,34.0,116.45,113.0
青岛,2019,2,10,35.0,28.72463768115942,119.0
天津,2019,1,14,39.0,274.7956989247312,117.0
厦门,2019,6,8,25.0,26.09090909090909,117.0
北京,2019,2,17,38.0,28.0,117.0
济南,2019,2,9,37.0,51.11594202898551,116.0
济南,2018,8,12,36.0,81.70748299319727,117.0
海口,2018,8,4,20.0,32.93333333333333,110.0
昆明,2019,2,2,25.0,34.11940298507463,102.0
成都,2019,1,6,30.0,119.74561403508773,103.0
青岛,2018,8,11,35.0,54.26865671641791,119.0
乌鲁木齐,2018,8,26,44.0,82.33333333333333,87.0
青岛,2019,2,26,36.0,70.27272727272727,119.0
北京,2019,2,5,38.0,160.08695652173913,117.0
青岛,2018,8,6,36.0,57.5,119.0
呼和浩特,2018,8,22,40.0,58.27777777777778,111.0
昆明,2019,1,16,25.0,52.95348837209303,103.0
济南,2019,1,25,37.0,75.82222222222222,116.0
昆明,2019,1,10,25.0,35.03030303030303,103.0
厦门,2018,8,7,25.0,46.125,119.0
上海,2019,1,31,30.0,41.46938775510204,120.0
青岛,2018,8,22,37.0,44.675,119.0
郑州,2019,1,7,35.0,240.944,112.0
郑州,2019,1,16,35.0,88.7483870967742,113.0
乌鲁木齐,2019,1,22,43.0,74.9171974522293,87.0
厦门,2019,1,4,25.0,29.0,118.0
济南,2019,2,1,36.0,94.02083333333333,115.0
昆明,2019,1,11,24.0,34.28409090909091,102.0
上海,2018,8,3,32.0,41.72727272727273,120.0
天津,2019,2,12,39.0,63.901709401709404,116.0
昆明,2019,1,22,25.0,53.651162790697676,103.0
昆明,2018,8,17,25.0,46.666666666666664,102.0
成都,2019,1,10,30.0,114.6376811594203,103.0
济南,2019,2,24,36.0,204.29166666666666,115.0
天津,2019,1,9,39.0,59.75213675213675,117.0
青岛,2018,8,21,35.0,42.55555555555556,120.0
海口,2019,1,12,20.0,31.47142857142857,110.0
天津,2018,8,30,40.0,29.666666666666668,116.0
天津,2019,2,16,40.0,23.70149253731343,116.0
昆明,2019,1,5,25.0,42.40425531914894,103.0
昆明,2018,8,26,25.0,50.833333333333336,103.0
呼和浩特,2019,2,4,40.0,151.31521739130434,111.0
天津,2018,8,14,39.0,32.06542056074766,116.0
济南,2019,1,25,36.0,105.93442622950819,116.0
郑州,2018,8,16,33.0,39.205479452054796,113.0
乌鲁木齐,2018,8,11,43.0,61.55555555555556,87.0
海口,2018,8,19,20.0,26.403225806451612,110.0
天津,2019,1,13,39.0,263.0191082802548,116.0
郑州,2019,1,11,35.0,238.17964071856287,113.0
郑州,2019,1,25,34.0,119.51440329218107,113.0
厦门,2019,6,10,24.0,29.838509316770185,118.0
上海,2018,8,31,32.0,47.608695652173914,120.0
天津,2019,2,17,40.0,24.38888888888889,116.0
乌鲁木齐,2019,1,9,43.0,85.046875,87.0
海口,2019,2,17,20.0,20.24390243902439,110.0
海口,2019,1,9,19.0,38.90909090909091,110.0
厦门,2018,8,26,25.0,17.0,117.0
青岛,2019,1,22,36.0,129.76530612244898,120.0
厦门,2019,2,25,25.0,26.818181818181817,118.0
天津,2019,2,1,39.0,114.6056338028169,118.0
济南,2019,1,22,36.0,109.15037593984962,116.0
天津,2019,2,24,38.0,203.15384615384616,117.0
北京,2019,2,20,40.0,40.359550561797754,116.0
北京,2018,8,14,38.0,38.61643835616438,115.0
北京,2019,2,28,39.0,204.17333333333335,117.0
济南,2019,1,24,37.0,165.6451612903226,116.0
北京,2019,2,27,38.0,105.91666666666667,115.0
济南,2019,1,19,36.0,160.66803278688525,117.0
上海,2019,1,2,30.0,102.69565217391305,120.0
上海,2018,8,5,32.0,45.55,121.0
青岛,2018,8,18,36.0,39.7641196013289,120.0
呼和浩特,2018,8,4,40.0,61.01063829787234,111.0
青岛,2019,2,25,36.0,122.3617747440273,120.0
呼和浩特,2019,1,30,40.0,48.78142076502732,111.0
呼和浩特,2019,6,9,41.0,30.59090909090909,111.0
厦门,2019,1,23,24.0,65.55882352941177,118.0
昆明,2018,8,23,25.0,47.61194029850746,102.0
上海,2018,8,19,32.0,61.31578947368421,121.0
海口,2019,2,20,20.0,22.52173913043478,110.0
天津,2019,1,7,40.0,62.75714285714286,116.0
郑州,2018,8,27,34.0,83.60975609756098,113.0
济南,2019,1,8,36.0,107.70833333333333,115.0
成都,2018,8,20,31.0,71.84210526315789,103.0
北京,2019,1,10,38.0,124.94444444444444,117.0
成都,2018,8,30,30.0,75.86363636363636,104.0
上海,2018,8,8,31.0,40.61904761904762,121.0
乌鲁木齐,2018,8,30,44.0,29.25,87.0
厦门,2019,1,16,25.0,20.571428571428573,118.0
成都,2019,2,20,30.0,68.8785046728972,103.0
济南,2019,1,17,37.0,112.63888888888889,116.0
郑州,2019,2,21,34.0,247.7289156626506,113.0
济南,2019,1,5,36.0,80.27083333333333,115.0
天津,2018,8,12,40.0,47.666666666666664,116.0
青岛,2019,1,7,37.0,92.58333333333333,119.0
呼和浩特,2019,6,9,40.0,30.9618320610687,111.0
青岛,2018,8,11,35.0,52.142857142857146,120.0
天津,2019,1,16,39.0,77.78985507246377,118.0
济南,2019,1,17,36.0,100.4688796680498,117.0
海口,2019,1,14,19.0,29.94736842105263,110.0
成都,2019,1,10,31.0,55.94117647058823,103.0
乌鲁木齐,2019,1,6,43.0,161.92198581560282,87.0
成都,2018,8,25,30.0,60.19444444444444,103.0
呼和浩特,2019,1,4,40.0,46.37640449438202,111.0
青岛,2019,2,14,35.0,50.43478260869565,119.0
乌鲁木齐,2019,2,17,43.0,123.85365853658537,87.0
呼和浩特,2018,8,16,40.0,49.04950495049505,111.0
北京,2019,2,26,39.0,70.31111111111112,116.0
青岛,2019,1,15,35.0,127.69565217391305,120.0
厦门,2018,8,9,25.0,34.0625,118.0
厦门,2018,8,1,25.0,51.86363636363637,117.0
济南,2018,8,17,36.0,55.58536585365854,116.0
乌鲁木齐,2019,2,22,42.0,144.6341463414634,89.0
青岛,2018,8,21,36.0,68.92307692307692,119.0
成都,2018,8,19,30.0,67.47311827956989,104.0
