city,year,month,day,avg(la),avg(AQI),avg(lo)
成都,2018,8,6,30.0,76.63829787234043,104.0
郑州,2019,1,23,34.0,140.68571428571428,114.0
上海,2019,1,11,32.0,27.545454545454547,120.0
郑州,2019,1,1,34.0,151.95049504950495,113.0
成都,2019,1,30,30.0,104.67619047619047,103.0
北京,2018,8,21,38.0,59.736111111111114,115.0
天津,2019,2,16,39.0,26.06008583690987,116.0
成都,2018,8,3,30.0,30.63157894736842,104.0
厦门,2018,8,15,24.0,29.79230769230769,118.0
厦门,2019,1,2,24.0,20.955307262569832,118.0
昆明,2018,8,10,25.0,51.47761194029851,102.0
郑州,2019,2,20,35.0,165.424,112.0
